iata,long,lat,airport
HIJ,132.919,34.4361,Hiroshima Airport
OKJ,133.855,34.7569,Okayama Airport
MYJ,132.7,33.8272,Matsuyama Airport
OKA,127.646,26.1958,Naha Airport
HND,139.781,35.5533,Haneda Airport
NRT,140.386,35.7653,Narita International Airport
KIX,135.23,34.4305,Kansai International Airport
MBA,39.5942,-4.03483,Moi International Airport
NBO,36.9278,-1.31924,Jomo Kenyatta International Airport
OSS,72.7933,40.609,Osh Airport
FRU,74.4776,43.0613,Manas International Airport
REP,103.813,13.4107,Siem Reap International Airport (Angkor Int'l)
PNH,104.844,11.5466,Phnom Penh International Airport
FNJ,125.67,39.2241,Pyongyang Sunan International Airport
MWX,126.383,34.9914,Muan International Airport
YNY,128.669,38.0613,Yangyang International Airport
CJJ,127.499,36.717,Cheongju International Airport
CJU,126.493,33.5113,Jeju International Airport
TAE,128.655,35.8969,Daegu International Airport
PUS,128.938,35.1795,Gimhae International Airport
ICN,126.44,37.4633,Incheon International Airport
KWI,47.9689,29.2266,Kuwait International Airport
GCM,-81.3577,19.2928,Owen Roberts International Airport
SCO,51.092,43.8601,Aktau Airport
AKX,57.2067,50.2458,Aktobe Airport
KOV,69.5946,53.3291,Kokshetau Airport
PWQ,77.0739,52.195,Pavlodar Airport
CIT,69.4789,42.3642,Shymkent International Airport
KGF,73.3344,49.6708,Sary-Arka Airport
UKK,82.4942,50.0366,Oskemen Airport (Ust-Kamenogorsk Airport)
GUW,51.8214,47.1219,Atyrau Airport
ALA,77.0405,43.3521,Almaty International Airport
BEY,35.4884,33.8209,Beirut-Rafic Hariri International Airport / Beirut Air Base
UVF,-60.9526,13.7332,Hewanorra International Airport
CMB,79.8841,7.18076,Bandaranaike International Airport
ROB,-10.3623,6.23379,Roberts International Airport
VNO,25.2858,54.6341,Vilnius Airport
KUN,24.0848,54.9639,Kaunas International Airport
LUX,6.20444,49.6233,Luxembourg Findel Airport
RIX,23.9711,56.9236,Riga International Airport
BEN,20.2695,32.0968,Benina International Airport
MRA,15.061,32.325,Misrata Airport
TIP,13.159,32.6635,Tripoli International Airport
RAK,-8.0363,31.6069,Marrakesh Menara Airport
FEZ,-4.97796,33.9273,Fes-Saiss Airport
CMN,-7.58997,33.3675,Mohammed V International Airport
NDR,-3.02821,34.9888,Nador International Airport
TNG,-5.91689,35.7269,Tangier Ibn Battouta Airport
RBA,-6.75152,34.0515,Rabat-Sale Airport
AGA,-9.41307,30.325,Agadir-Al Massira Airport
KIV,28.931,46.9277,Chisinau International Airport
TGD,19.2519,42.3594,Podgorica Airport
TIV,18.7233,42.4047,Tivat Airport
TNR,47.4788,-18.7969,Ivato International Airport
SKP,21.6214,41.9616,Skopje Alexander the Great Airport
BKO,-7.94994,12.5335,Bamako-Senou International Airport
RGN,96.1332,16.9073,Yangon International Airport
ULN,106.767,47.8431,Chinggis Khaan International Airport
SPN,145.729,15.119,Saipan International Airport (Francisco C. Ada Int'l)
FDF,-61.0032,14.591,Martinique Aime Cesaire International Airport
NKC,-15.9697,18.31,Nouakchott-Oumtounsy International Airport
MLA,14.4775,35.8575,Malta International Airport (Luqa Airport)
MRU,57.6836,-20.4302,Sir Seewoosagur Ramgoolam International Airport
MLE,73.5291,4.19183,Velana International Airport
TIJ,-116.97,32.5411,Tijuana International Airport
MLM,-101.025,19.8499,General Francisco J. Mujica International Airport
OAX,-96.7266,16.9999,Xoxocotlan International Air
QRO,-100.186,20.6173,Queretaro Intercontinental Airport
SLP,-100.931,22.2543,Ponciano Arriaga International Airport
GDL,-103.311,20.5218,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)
ACA,-99.754,16.7571,General Juan N. Alvarez International Airport
MTY,-100.107,25.7785,General Mariano Escobedo International Airport
SLW,-100.929,25.5495,Plan de Guadalupe International Airport
VSA,-92.8174,17.997,Carlos Rovirosa Perez International Airport
TAM,-97.8659,22.2964,General Francisco Javier Mina International Airport
VER,-96.1873,19.1459,General Heriberto Jara International Airport
SJD,-109.721,23.1518,Los Cabos International Airport
MZT,-106.266,23.1614,General Rafael Buelna International Airport
ZLO,-104.559,19.1448,Playa de Oro International Airport
AGU,-102.318,21.7056,Lic. Jesus Teran Peredo International Airport
ZIH,-101.461,17.6016,Ixtapa-Zihuatanejo International Airport
DGO,-104.528,24.1242,General Guadalupe Victoria International Airport
CZM,-86.9256,20.5224,Cozumel International Airport
BJX,-101.481,20.9935,Del Bajio International Airport (Guanajuato Int'l Airport)
ZCL,-102.687,22.8971,General Leobardo C. Ruiz International Airport
PBC,-98.3714,19.1581,Hermanos Serdan International Airport
HUX,-96.2626,15.7753,Bahias de Huatulco International Airport
CUU,-105.965,28.7029,General Roberto Fierro Villalobos International Airport
CUN,-86.8771,21.0365,Cancun International Airport
TRC,-103.411,25.5683,Francisco Sarabia International Airport
MEX,-99.0721,19.4363,Mexico City International Airport
PVR,-105.254,20.6801,Licenciado Gustavo Diaz Ordaz International Airport
MID,-89.6577,20.937,Manuel Crescencio Rejon International Airport
CME,-91.799,18.6537,Ciudad del Carmen International Airport
KUL,101.71,2.74558,Kuala Lumpur International Airport
BKI,116.051,5.93721,Kota Kinabalu International Airport
WDH,17.4709,-22.4799,Hosea Kutako International Airport
NIM,2.18361,13.4815,Diori Hamani International Airport
LOS,3.32116,6.57737,Murtala Muhammed International Airport
ABV,7.26317,9.00679,Nnamdi Azikiwe International Airport
KAN,8.52462,12.0476,Mallam Aminu Kano International Airport
MGA,-86.1682,12.1415,Augusto C. Sandino International Airport
EIN,5.37453,51.4501,Eindhoven Airport
RTM,4.43722,51.9569,Rotterdam The Hague Airport
AMS,4.76389,52.3086,Amsterdam Airport Schiphol
HAU,5.20836,59.3453,Haugesund Airport
RYG,10.7854,59.3788,Moss Airport
TRF,10.2586,59.1867,Sandefjord Airport
TRD,10.924,63.4578,Trondheim Airport
AES,6.1197,62.5625,Alesund Airport
TOS,18.9189,69.6833,Tromse Airport
SVG,5.63778,58.8767,Stavanger Airport
OSL,11.1004,60.1939,Oslo Airport
BGO,5.21814,60.2934,Bergen Airport
KRS,8.08537,58.2042,Kristiansand Airport
KTM,85.3591,27.6966,Tribhuvan International Airport
AKL,174.792,-37.0081,Auckland Airport
MCT,58.2844,23.5933,Muscat International Airport
SLL,54.0913,17.0387,Salalah International Airport
LRM,-68.9118,18.4507,La Romana International Airport (Casa de Campo International Airport)
PTY,-79.3835,9.07136,Tocumen International Airport
LIM,-77.1143,-12.0219,Jorge Chavez International Airport
MNL,121.02,14.5086,Ninoy Aquino International Airport / Villamor Air Base
SKT,74.3639,32.5356,Sialkot International Airport
LHE,74.4036,31.5216,Allama Iqbal International Airport
ISB,72.8516,33.5607,Islamabad International Airport
KHI,67.1608,24.9065,Jinnah International Airport
PEW,71.5146,33.9939,Bacha Khan International Airport
MUX,71.4191,30.2032,Multan International Airport
BZG,17.9777,53.0968,Bydgoszcz Ignacy Jan Paderewski Airport
KRK,19.7848,50.0777,John Paul II International Airport Krakow-Balice
GDN,18.4662,54.3776,Gdansk Lech Walesa Airport
RZE,22.019,50.11,Rzeszow-Jasionka Airport
WRO,16.8858,51.1027,Copernicus Airport Wroclaw
LUZ,22.7136,51.2403,Lublin Airport
KTW,19.08,50.4743,Katowice International Airport
WMI,20.6518,52.4511,Warsaw Modlin Airport
SZZ,14.9022,53.5847,Solidarity Szczecin-Goleniow Airport
POZ,16.8263,52.421,Poznań–Ławica Henryk Wieniawski Airport
WAW,20.9671,52.1657,Warsaw Chopin Airport
SJU,-66.0018,18.4394,Luis Munoz Marin International Airport
PSE,-66.563,18.0083,Mercedita Airport
FAO,-7.96591,37.0144,Faro Airport
PDL,-25.6979,37.7412,Joao Paulo II Airport
OPO,-8.68139,41.2481,Francisco de Sa Carneiro Airport
FNC,-16.7745,32.6979,Madeira Airport
LIS,-9.13592,38.7813,Lisbon Portela Airport
DOH,51.6081,25.2731,Hamad International Airport
RUN,55.5103,-20.8871,Roland Garros Airport
CND,28.4883,44.3622,Mihail Kogalniceanu International Airport
IAS,27.6206,47.1785,Iasi International Airport
SBZ,24.0913,45.7856,Sibiu International Airport
CLJ,23.6862,46.7852,Cluj-Napoca International Airport
TSR,21.3379,45.8099,Timisoara Traian Vuia International Airport
OTP,26.085,44.5711,Bucharest Henri Coandă International Airport
BEG,20.3091,44.8184,Belgrade Nikola Tesla Airport
OSW,58.5956,51.0725,Orsk Airport
NJC,76.4836,60.9493,Nizhnevartovsk Airport
UUA,52.8017,54.64,Bugulma Airport
UUD,107.438,51.8078,Baikal International Airport
UUS,142.718,46.8887,Yuzhno-Sakhalinsk Airport (Khomutovo Airport)
IJK,53.4575,56.8281,Izhevsk Airport
SGC,73.4018,61.3437,Surgut International Airport
KRR,39.1705,45.0347,Krasnodar International Airport (Pashkovsky Airport)
KRO,65.4156,55.4753,Kurgan Airport
STW,42.1128,45.1092,Stavropol Shpakovskoye Airport
KHV,135.188,48.528,Khabarovsk Novy Airport
OMS,73.3105,54.967,Omsk Tsentralny Airport
EGO,36.5901,50.6438,Belgorod International Airport
VKT,63.9931,67.4886,Vorkuta Airport
ASF,48.0063,46.2833,Narimanovo Airport
CSY,47.3473,56.0903,Cheboksary Airport
AAQ,37.3473,45.0021,Anapa Airport
ABA,91.385,53.74,Abakan International Airport
NUX,76.5203,66.0694,Novy Urengoy Airport
REN,55.4567,51.7958,Orenburg Tsentralny Airport
VOG,44.3455,48.7825,Volgograd International Airport
VOZ,39.2296,51.8142,Voronezh International Airport (Chertovitskoye Airport)
SLY,66.611,66.5908,Salekhard Airport
TJM,65.3243,57.1896,Roshchino International Airport
AER,39.9566,43.4499,Sochi International Airport
PEE,56.0212,57.9145,Perm International Airport (Bolshoye Savino Airport)
PES,34.1547,61.8852,Petrozavodsk Airport (Besovets Airport)
PYJ,112.03,66.4004,Polyarny Airport
VVO,132.148,43.399,Vladivostok International Airport
IKT,104.389,52.268,International Airport Irkutsk
KZN,49.2787,55.6062,Kazan International Airport
NYM,72.6989,65.4809,Nadym Airport
PEZ,45.0211,53.1106,Penza Airport (Ternovka Airport)
KGD,20.5926,54.89,Khrabrovo Airport
NSK,87.3322,69.3111,Alykel Airport
DYR,177.741,64.7349,Ugolny Airport
RTW,46.0467,51.565,Saratov Tsentralny Airport
TGK,38.8492,47.1983,Taganrog Airport
TOF,85.2083,56.3803,Bogashevo Airport
BAX,83.5385,53.3638,Barnaul Airport
KVK,33.5883,67.4633,Kirovsk-Apatity Airport (Khibiny Airport)
BQS,127.412,50.4254,Ignatyevo Airport
NOZ,86.8772,53.8114,Spichenkovo Airport
KUF,50.1643,53.5049,Kurumoch International Airport
NOJ,75.27,63.1833,Noyabrsk Airport
BTK,101.698,56.3706,Bratsk Airport
LED,30.2625,59.8003,Pulkovo Airport
SVX,60.8027,56.7431,Koltsovo International Airport
MRV,43.0819,44.2251,Mineralnye Vody Airport
KEJ,86.1072,55.2701,Kemerovo International Airport
SKX,45.2123,54.1251,Saransk Airport
GOJ,43.784,56.2301,Nizhny Novgorod International Airport (Strigino Airport)
GDX,150.72,59.911,Sokol Airport
MJZ,114.039,62.5347,Mirny Airport
MCX,47.6523,42.8168,Uytash Airport
CEE,38.0158,59.2736,Cherepovets Airport
KJA,92.4933,56.1729,Yemelyanovo International Airport
CEK,61.5033,55.3058,Chelyabinsk Airport
OGZ,44.6066,43.2051,Beslan Airport
OVB,82.6507,55.0126,Tolmachevo Airport
ESL,44.3309,46.3739,Elista Airport
UFA,55.8744,54.5575,Ufa International Airport
GRV,45.6986,43.3883,Grozny Airport
ROV,39.9247,47.4939,Platov International Airport
ULV,48.2267,54.2683,Ulyanovsk Baratayevka Airport
YKS,129.771,62.0933,Yakutsk Airport
PKC,158.454,53.1679,Petropavlovsk-Kamchatsky Airport (Yelizovo Airport)
HTA,113.306,52.0263,Chita International Airport (Kadala Airport)
RGK,85.8333,51.9667,Gorno-Altaysk Airport
HMA,69.0861,61.0285,Khanty-Mansiysk Airport
NBC,52.0925,55.5647,Begishevo Airport
SVO,37.4147,55.9728,Sheremetyevo Alexander S. Pushkin International Airport
KGL,30.1395,-1.96863,Kigali International Airport (Kanombe Airport)
TUU,36.6189,28.3654,Tabuk Regional Airport
MED,39.7051,24.5534,Prince Mohammad bin Abdulaziz Airport
JED,39.1565,21.6796,King Abdulaziz International Airport
AHB,42.6566,18.2404,Abha Regional Airport
DMM,49.7979,26.4712,King Fahd International Airport
HAS,41.6863,27.4379,Ha'il Regional Airport
TIF,40.5434,21.483,Ta'if Regional Airport
ELQ,43.7744,26.3028,Prince Nayef bin Abdulaziz Regional Airport
RUH,46.6988,24.9576,King Khalid International Airport
YNB,38.0634,24.1442,Yanbu Airport (Yenbo Airport)
SEZ,55.5218,-4.67434,Seychelles International Airport
KRT,32.5532,15.5895,Khartoum International Airport
PZU,37.2341,19.4336,Port Sudan New International Airport
GSE,11.8704,57.7747,Goteborg City Airport
ARN,17.9186,59.6519,Stockholm Arlanda Airport
LPI,15.6805,58.4062,Linkoping City Airport
SFT,21.0769,64.6248,Skelleftea Airport
GOT,12.2798,57.6628,Goteborg Landvetter Airport
VXO,14.728,56.9291,Vaxjo Smaland Airport
SIN,103.994,1.35019,Singapore Changi Airport
LJU,14.4576,46.2237,Ljubljana Joze Pucnik Airport (Brnik Airport)
BTS,17.2127,48.1702,M. R. Stefanik Airport
FNA,-13.1955,8.61644,Lungi International Airport
DKR,-17.4902,14.7397,Leopold Sedar Senghor International Airport
BBO,44.9411,10.3892,Berbera Airport
HGA,44.0824,9.51321,Hargeisa International Airport (Egal Int'l)
PBM,-55.1878,5.45283,Johan Adolf Pengel International Airport
JUB,31.6011,4.87201,Juba International Airport
SAL,-89.0557,13.4409,Monsenor Oscar Arnulfo Romero International Airport
SXM,-63.1089,18.041,Princess Juliana International Airport
PLS,-72.2659,21.7736,Providenciales International Airport
NDJ,15.034,12.1337,N'Djamena International Airport
LFW,1.25451,6.16561,Lome-Tokoin Airport (Gnassingbe Eyadema Int'l)
HKT,98.3169,8.1132,Phuket International Airport
CNX,98.9626,18.7668,Chiang Mai International Airport
BKK,100.747,13.6811,Suvarnabhumi Airport
DYU,68.825,38.5433,Dushanbe International Airport
LBD,69.6947,40.2154,Khujand Airport
TJU,69.805,37.9881,Kulob Airport
KQT,68.8647,37.8664,Bokhtar International Airport
ASB,58.361,37.9868,Ashgabat International Airport
TUN,10.2272,36.851,Tunis-Carthage International Airport
SFA,10.691,34.718,Sfax-Thyna International Airport
DJE,10.7755,33.875,Djerba-Zarzis International Airport
NBE,10.4386,36.0758,Enfidha-Hammamet International Airport
MIR,10.7547,35.7581,Monastir Habib Bourguiba International Airport
TZX,39.7897,40.9951,Trabzon Airport
MZH,35.522,40.8294,Amasya Merzifon Airport
GNY,38.8956,37.4457,Sanliurfa GAP Airport
EZS,39.2914,38.6069,Elazig Airport
ISE,30.3684,37.8554,Isparta Suleyman Demirel Airport
HTY,36.2822,36.3628,Hatay Airport
AJI,43.026,39.6545,Agri Airport
NOP,35.0664,42.0158,Sinop Airport
BGG,40.596,38.8593,Bingol Airport
ASR,35.4954,38.7704,Erkilet International Airport
IST,28.7519,41.2753,Istanbul Ataturk Airport
BAL,41.1166,37.929,Batman Airport
KCM,36.9535,37.5388,Kahramanmaras Airport
GZT,37.4787,36.9472,Gaziantep Oguzeli International Airport
GZP,32.3006,36.2992,Gazipasa-Alanya Airport
MLX,38.091,38.4353,Malatya Erhac Airport
DIY,40.201,37.8939,Diyarbakir Airport
DLM,28.7925,36.7131,Dalaman Airport
MQM,40.6317,37.2233,Mardin Airport
DNZ,29.7013,37.7856,Denizli Cardak Airport
KYA,32.5619,37.979,Konya Airport
MSR,41.6612,38.7478,Mus Airport
KZR,30.1281,39.1131,Zafer Airport
SAW,29.3092,40.8986,Sabiha Gokcen International Airport
IGD,43.8766,39.9766,Igdir Airport
KFS,33.7958,41.3142,Kastamonu Airport
BJV,27.6643,37.2506,Milas-Bodrum Airport
NAV,34.5345,38.7719,Nevsehir Kapadokya Air
ERC,39.527,39.7102,Erzincan Airport
AYT,30.8005,36.8987,Antalya Airport
VAN,43.3323,38.4682,Van Ferit Melen Airport
ADF,38.4689,37.7314,Adiyaman Airport
ADA,35.2804,36.9822,Adana Sakirpasa Airport
KSY,43.115,40.5622,Kars Harakani Airport
VAS,36.9035,39.8138,Sivas Airport
ERZ,41.1702,39.9565,Erzurum Airport
ESB,32.9951,40.1281,Esenboga International Airport
TAB,-60.8322,11.1497,Arthur Napoleon Raymond Robinson International Airport
POS,-61.3372,10.5954,Piarco International Airport
TSA,121.552,25.0694,Taipei Songshan Airport
KHH,120.35,22.5771,Kaohsiung International Airport
TPE,121.233,25.0777,Taiwan Taoyuan International Airport
RMQ,120.621,24.2647,Taichung Airport (Taichung Ching Chuan Kang Airport)
JRO,37.0745,-3.42941,Kilimanjaro International Airport
DAR,39.2026,-6.87811,Julius Nyerere International Airport
LWO,23.9561,49.8125,Lviv Danylo Halytskyi International Airport
ODS,30.6765,46.4268,Odessa International Airport
DOK,37.7397,48.0736,Donetsk International Airport
IEV,30.4519,50.4019,Kyiv International Airport (Zhuliany)
DNK,35.1006,48.3572,Dnipropetrovsk International Airport
HRK,36.29,49.9248,Kharkiv International Airport (Osnova Airport)
UKS,33.571,44.689,Sevastopol International Airport
KBP,30.8947,50.345,Boryspil International Airport
SIP,33.9751,45.0522,Simferopol International Airport
EBB,32.4435,0.042386,Entebbe International Airport
SJT,-100.496,31.3577,San Angelo Regional Airport (Mathis Field)
SLC,-111.978,40.7884,Salt Lake City International Airport
SMF,-121.591,38.6954,Sacramento International Airport
HDN,-107.218,40.4812,Yampa Valley Airport
SNA,-117.868,33.6757,John Wayne Airport (Orange County Airport)
SPI,-89.6779,39.8441,Abraham Lincoln Capital Airport
SPS,-98.4919,33.9888,Sheppard Air Force Base / Wichita Falls Municipal Airport
SRQ,-82.5544,27.3954,Sarasota-Bradenton International Airport
GUC,-106.933,38.5339,Gunnison-Crested Butte Regional Airport
GTR,-88.5914,33.4503,Golden Triangle Regional Airport
GTF,-111.371,47.482,Great Falls International Airport
GSP,-82.2189,34.8957,Greenville-Spartanburg International Airport
GSO,-79.9373,36.0978,Piedmont Triad International Airport
STC,-94.0599,45.5466,St. Cloud Regional Airport
STL,-90.37,38.7487,Lambert-St. Louis International Airport
GRR,-85.5228,42.8808,Gerald R. Ford International Airport
GRK,-97.8289,31.0672,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield
GRI,-98.3096,40.9675,Central Nebraska Regional Airport
SUX,-96.3844,42.4026,Sioux Gateway Airport (Colonel Bud Day Field)
GRB,-88.1296,44.4851,Austin Straubel International Airport
GPT,-89.0701,30.4073,Gulfport-Biloxi International Airport
GNV,-82.2718,29.6901,Gainesville Regional Airport
SYR,-76.1063,43.1112,Syracuse Hancock International Airport
GJT,-108.527,39.1224,Grand Junction Regional Airport (Walker Field)
GGG,-94.7115,32.384,East Texas Regional Airport
ABE,-75.4408,40.6521,Lehigh Valley International Airport
ABI,-99.6819,32.4113,Abilene Regional Airport
ABQ,-106.609,35.0402,Albuquerque International Sunport
ABY,-84.1945,31.5355,Southwest Georgia Regional Airport
ACT,-97.2305,31.6113,Waco Regional Airport
GEG,-117.534,47.6199,Spokane International Airport
ACY,-74.5772,39.4576,Atlantic City International Airport
AEX,-92.5498,31.3274,Alexandria International Airport
GCK,-100.724,37.9275,Garden City Regional Airport
GCC,-105.539,44.3489,Gillette-Campbell County Airport
AGS,-81.9645,33.3699,Augusta Regional Airport at Bush Field
AIA,-102.804,42.0532,Alliance Municipal Airport
ALB,-73.8017,42.7483,Albany International Airport
ALO,-92.4003,42.5571,Waterloo Regional Airport
ALS,-105.867,37.4349,San Luis Valley Regional Airport
AMA,-101.706,35.2194,Rick Husband Amarillo International Airport
ANC,-149.996,61.1744,Ted Stevens Anchorage International Airport
ART,-76.0217,43.9919,Watertown International Airport
FSM,-94.3674,35.3366,Fort Smith Regional Airport
ASE,-106.869,39.2232,Aspen-Pitkin County Airport (Sardy Field)
FSD,-96.7419,43.582,Sioux Falls Regional Airport (Joe Foss Field)
ATL,-84.4281,33.6367,Hartsfield-Jackson Atlanta International Airport
TLH,-84.3503,30.3965,Tallahassee International Airport
ATW,-88.5191,44.2581,Appleton International Airport
FOE,-95.6636,38.9509,Topeka Regional Airport
AUS,-97.6699,30.1945,Austin-Bergstrom International Airport
AVL,-82.5418,35.4362,Asheville Regional Airport
FNT,-83.7436,42.9654,Bishop International Airport
AVP,-75.7234,41.3385,Wilkes-Barre/Scranton International Airport
FMN,-108.23,36.7412,Four Corners Regional Airport
MFE,-98.2386,26.1758,McAllen Miller International Airport
MHK,-96.6708,39.141,Manhattan Regional Airport
TOL,-83.8078,41.5868,Toledo Express Airport
MHT,-71.4357,42.9326,Manchester-Boston Regional Airport
FLL,-80.1527,26.0726,Fort Lauderdale-Hollywood International Airport
MIA,-80.2906,25.7932,Miami International Airport
TPA,-82.5332,27.9755,Tampa International Airport
MEM,-89.9767,35.0424,Memphis International Airport
MEI,-88.7519,32.3326,Meridian Regional Airport (Key Field)
MDT,-76.7634,40.1935,Harrisburg International Airport
TRI,-82.4074,36.4752,Tri-Cities Regional Airport
MKE,-87.8966,42.9472,General Mitchell International Airport
MKG,-86.2382,43.1695,Muskegon County Airport
MCO,-81.309,28.4294,Orlando International Airport
MCN,-83.6492,32.6928,Middle Georgia Regional Airport
MCK,-100.592,40.2063,McCook Ben Nelson Regional Airport
MCI,-94.7139,39.2976,Kansas City International Airport
FCA,-114.256,48.3105,Glacier Park International Airport
TTN,-74.8135,40.2767,Trenton-Mercer Airport
MLB,-80.6453,28.1028,Orlando Melbourne International Airport
FAY,-78.8803,34.9912,Fayetteville Regional Airport (Grannis Field)
MLI,-90.5075,41.4485,Quad City International Airport
FAT,-119.718,36.7762,Fresno Yosemite International Airport
TUL,-95.8881,36.1984,Tulsa International Airport
FAR,-96.8158,46.9207,Hector International Airport
TUP,-88.7699,34.2681,Tupelo Regional Airport
TUS,-110.941,32.1161,Tucson International Airport
MLU,-92.0377,32.5109,Monroe Regional Airport
TVC,-85.5822,44.7414,Cherry Capital Airport
MBS,-84.0796,43.5329,MBS International Airport
EYW,-81.7596,24.5561,Key West International Airport
TXK,-93.991,33.4537,Texarkana Regional Airport (Webb Field)
EWN,-77.0429,35.073,Coastal Carolina Regional Airport
TYR,-95.4024,32.3541,Tyler Pounds Regional Airport
TYS,-83.994,35.811,McGhee Tyson Airport
MOB,-88.2428,30.6912,Mobile Regional Airport
MAF,-102.202,31.9425,Midland International Air and Space Port
EUG,-123.212,44.1246,Eugene Airport (Mahlon Sweet Airport)
MOT,-101.28,48.2594,Minot International Airport
MQT,-87.3954,46.3536,Sawyer International Airport
MFR,-122.873,42.3742,Rogue Valley International-Medford Airport
LWB,-80.3995,37.8583,Greenbrier Valley Airport
MRY,-121.843,36.587,Monterey Regional Airport
MSL,-87.6102,34.7453,Northwest Alabama Regional Airport
MSN,-89.3375,43.1399,Dane County Regional Airport (Truax Field)
MSO,-114.091,46.9163,Missoula International Airport
MSP,-93.2218,44.882,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)
MSY,-90.258,29.9934,Louis Armstrong New Orleans International Airport
MTJ,-107.894,38.5098,Montrose Regional Airport
LSE,-91.2567,43.879,La Crosse Regional Airport
ELP,-106.378,31.8072,El Paso International Airport
ELM,-76.8916,42.1599,Elmira/Corning Regional Airport
LRD,-99.4616,27.5438,Laredo International Airport
VCT,-96.9185,28.8526,Victoria Regional Airport
MYR,-78.9283,33.6797,Myrtle Beach International Airport
LNK,-96.7592,40.851,Lincoln Airport
VLD,-83.2767,30.7825,Valdosta Regional Airport
EGE,-106.918,39.6426,Eagle County Regional Airport
VPS,-86.5254,30.4832,Destin-Fort Walton Beach Airport / Eglin Air Force Base
ECP,-85.7954,30.3571,Northwest Florida Beaches International Airport
LIT,-92.2243,34.7294,Clinton National Airport (Adams Field)
LIH,-159.339,21.976,Lihue Airport
EAU,-91.4843,44.8658,Chippewa Valley Regional Airport
EAR,-99.0068,40.727,Kearney Regional Airport
LGB,-118.152,33.8177,Long Beach Airport
LFT,-91.9876,30.2053,Lafayette Regional Airport
LEX,-84.6059,38.0365,Blue Grass Airport
LCH,-93.2233,30.1261,Lake Charles Regional Airport
LBL,-100.96,37.0442,Liberal Mid-America Regional Airport
LBF,-100.684,41.1262,North Platte Regional Airport (Lee Bird Field)
LBB,-101.823,33.6636,Lubbock Preston Smith International Airport
LAX,-118.408,33.9425,Los Angeles International Airport
LAW,-98.4166,34.5677,Lawton-Fort Sill Regional Airport
LAS,-115.152,36.0801,Harry Reid International Airport
LAR,-105.675,41.3121,Laramie Regional Airport
LAN,-84.5874,42.7787,Capital Region International Airport
DSM,-93.6631,41.534,Des Moines International Airport
DRO,-107.754,37.1515,Durango-La Plata County Airport
MGM,-86.394,32.3006,Montgomery Regional Airport (Dannelly Field)
OAJ,-77.6121,34.8292,Albert J. Ellis Airport
OAK,-122.221,37.7213,Oakland International Airport
DLH,-92.1936,46.8421,Duluth International Airport
OGG,-156.43,20.8986,Kahului Airport
DIK,-102.802,46.7974,Dickinson Theodore Roosevelt Regional Airport
OKC,-97.6007,35.3931,Will Rogers World Airport
DHN,-85.4496,31.3213,Dothan Regional Airport
XNA,-94.3068,36.2819,Northwest Arkansas Regional Airport
OMA,-95.8941,41.3032,Eppley Airfield
DFW,-97.038,32.8968,Dallas/Fort Worth International Airport
DEN,-104.673,39.8617,Denver International Airport
DEC,-88.8657,39.8346,Decatur Airport
DDC,-99.9656,37.7634,Dodge City Regional Airport
ONT,-117.601,34.056,Ontario International Airport
DBQ,-90.7095,42.402,Dubuque Regional Airport
DAY,-84.2194,39.9024,Dayton International Airport
DAL,-96.8518,32.8471,Dallas Love Field
DAB,-81.0581,29.1799,Daytona Beach International Airport
ORF,-76.2012,36.8946,Norfolk International Airport
CYS,-104.812,41.1557,Cheyenne Regional Airport (Jerry Olson Field)
KOA,-156.046,19.7388,Kona International Airport at Keahole
CWA,-89.6668,44.7776,Central Wisconsin Airport
CVG,-84.6678,39.0488,Cincinnati/Northern Kentucky International Airport
CSG,-84.9389,32.5163,Columbus Airport
CRW,-81.5932,38.3731,Yeager Airport
CRP,-97.5012,27.7704,Corpus Christi International Airport
CPR,-106.464,42.908,Casper-Natrona County International Airport
COU,-92.2196,38.8181,Columbia Regional Airport
COS,-104.701,38.8058,Colorado Springs Airport
COD,-109.024,44.5202,Yellowstone Regional Airport
CMX,-88.4891,47.1684,Houghton County Memorial Airport
PAH,-88.7738,37.0608,Barkley Regional Airport
CMI,-88.2781,40.0392,University of Illinois Willard Airport
CMH,-82.8919,39.998,John Glenn Columbus International Airport
CLT,-80.9431,35.214,Charlotte Douglas International Airport
CLL,-96.3638,30.5886,Easterwood Airport (Easterwood Field)
CLE,-81.8498,41.4117,Cleveland Hopkins International Airport
PBI,-80.0956,26.6832,Palm Beach International Airport
CID,-91.7108,41.8847,The Eastern Iowa Airport
PDX,-122.598,45.5887,Portland International Airport
CHS,-80.0405,32.8986,Charleston International Airport / Charleston Air Force Base
CHO,-78.4529,38.1386,Charlottesville-Albemarle Airport
PGA,-111.448,36.9261,Page Municipal Airport
CHA,-85.2038,35.0353,Chattanooga Metropolitan Airport (Lovell Field)
CEZ,-108.628,37.303,Cortez Municipal Airport
PHF,-76.493,37.1319,Newport News/Williamsburg International Airport
PHL,-75.2411,39.8719,Philadelphia International Airport
PHX,-112.012,33.4343,Phoenix Sky Harbor International Airport
PIA,-89.6933,40.6642,General Wayne A. Downing Peoria International Airport
CAK,-81.4422,40.9161,Akron-Canton Airport
CAE,-81.1195,33.9388,Columbia Metropolitan Airport
